VDOT,E/L (km),M (km),T (km),I (km),R (200m)
30,7:37-8:24,7:03,6:24,,67
31,7:26-8:12,6:52,6:14,,65
32,7:15-8:02,6:40,6:05,,63
33,7:05-7:51,6:30,5:56,,61
34,6:55-7:41,6:20,5:48,,60
35,6:46-7:31,6:10,5:40,,58
36,6:37-7:21,6:01,5:33,,57
37,6:29-7:12,5:53,5:26,,55
38,6:21-7:04,5:45,5:19,,54
39,6:13-6:56,5:37,5:12,,53
40,6:06-6:48,5:29,5:06,,52
41,5:59-6:41,5:22,5:00,,51
42,5:52-6:33,5:16,4:54,,50
43,5:45-6:26,5:09,4:49,,49
44,5:39-6:20,5:03,4:43,,48
45,5:33-6:13,4:57,4:38,,47
46,5:27-6:07,4:51,4:33,,46
47,5:22-6:01,4:46,4:29,4:46,45
48,5:17-5:55,4:41,4:24,4:41,44
49,5:11-5:50,4:36,4:20,4:36,43
50,5:06-5:44,4:31,4:15,4:31,43
51,5:02-5:39,4:27,4:11,4:26,43
52,4:57-5:34,4:22,4:07,4:21,42
53,4:53-5:29,4:18,4:04,4:16,42
54,4:48-5:24,4:14,4:00,4:12,41
55,4:44-5:20,4:10,3:56,4:07,40
56,4:40-5:15,4:06,3:53,4:03,40
57,4:36-5:11,4:03,3:50,4:00,39
58,4:32-5:07,3:59,3:46,,38
59,4:29-5:03,3:56,3:43,,38
60,4:25-4:59,3:52,3:40,,37
61,4:21-4:55,3:49,3:37,,37
62,4:18-4:51,3:46,3:34,,36
63,4:15-4:48,3:43,3:32,3:15,36
64,4:12-4:44,3:40,3:29,3:12,35
65,4:09-4:41,3:37,3:26,3:10,35
66,4:06-4:38,3:34,3:24,3:08,34
67,4:03-4:34,3:31,3:21,3:05,34
68,4:00-4:31,3:29,3:19,3:03,33
69,3:57-4:28,3:26,3:16,3:01,33
70,3:54-4:25,3:24,3:14,2:59,32
71,3:52-4:22,3:21,3:12,2:57,32
72,3:50-4:20,3:19,3:10,2:55,31
73,3:47-4:17,3:16,3:08,2:53,31
74,3:44-4:14,3:14,3:06,2:51,30
75,3:42-4:11,3:12,3:04,2:49,30
76,3:40-4:08,3:10,3:02,2:48,30
77,3:38-4:06,3:08,3:00,2:46,29
78,3:35-4:03,3:06,2:58,2:44,29
79,3:33-4:01,3:03,2:56,2:42,29
80,3:31-3:59,3:01,2:54,2:41,29
81,3:29-3:56,3:00,2:53,2:39,28
82,3:27-3:54,2:58,2:51,2:38,28
83,3:25-3:52,2:56,2:49,2:36,28
84,3:23-3:50,2:54,2:48,2:35,27
85,3:21-3:48,2:52,2:46,2:33,27
